Longitud de onda,M1,M2
572,24.464,2.881
572.5,24.223,2.682
573,24.098,2.538
573.5,24.026,2.438
574,23.982,2.486
574.5,23.961,2.578
575,23.978,2.643
575.5,24.087,2.759
576,24.269,2.838
576.5,24.491,2.99
577,24.69,3.136
577.5,24.788,3.207
578,24.748,3.102
578.5,24.68,2.986
579,24.604,2.889
579.5,24.542,2.892
580,24.53,2.896
580.5,24.546,2.95
581,24.583,3.041
581.5,24.63,3.248
582,24.797,3.433
582.5,24.811,3.559
583,24.736,3.481
583.5,24.64,3.308
584,24.574,3.068
584.5,24.449,2.863
585,24.433,2.726
585.5,24.441,2.752
586,24.52,2.872
586.5,24.654,3.059
587,24.798,3.21
587.5,24.853,3.271
588,24.827,3.171
588.5,24.649,2.897
589,24.468,2.647
589.5,24.211,2.393
590,24.08,2.306
590.5,24.039,2.401
591,24.132,2.522
591.5,24.22,2.727
592,24.258,2.931
592.5,24.428,3.145
593,24.51,3.189
593.5,24.537,3.173
594,24.556,3.172
594.5,24.547,3.171
595,24.5,3.055
595.5,24.49,2.884
596,24.441,2.63
596.5,24.41,2.458
597,24.449,2.435
597.5,24.536,2.461
598,24.536,2.49
598.5,24.499,2.612
599,24.567,2.773
599.5,24.631,2.947
600,24.694,3.132
600.5,24.791,3.12
601,24.816,3.063
601.5,24.866,2.979
602,24.93,3.007
602.5,24.991,2.978
603,24.992,3
603.5,25.06,3.119
604,25.24,3.298
604.5,25.403,3.478
605,25.44,3.552
605.5,25.339,3.34
606,25.173,3.209
606.5,24.966,3.037
607,24.845,3.063
607.5,24.85,3.15
608,24.849,3.252
608.5,24.99,3.474
609,25.176,3.647
609.5,25.367,3.708
610,25.408,3.611
610.5,25.454,3.481
611,25.569,3.529
611.5,25.588,3.474
612,25.513,3.404
612.5,25.464,3.472
613,25.379,3.49
613.5,25.302,3.458
614,25.247,3.359
614.5,25.185,3.256
615,25.114,3.173
615.5,25.149,3.214
616,25.128,3.238
616.5,25.089,3.177
617,25.047,3.167
617.5,25.224,3.387
618,25.452,3.652
618.5,25.669,3.83
619,25.792,3.902
619.5,25.834,3.962
620,25.875,3.948
620.5,25.865,3.967
621,25.757,3.881
621.5,25.715,3.745
622,25.701,3.659
622.5,25.747,3.649
623,25.744,3.703
623.5,25.78,3.673
624,25.759,3.67
624.5,25.995,3.917
625,26.393,4.149
625.5,26.555,4.356
626,26.763,4.519
626.5,26.861,4.581
627,26.92,4.618
627.5,26.82,4.436
628,26.675,4.186
628.5,26.56,3.962
629,26.486,3.885
629.5,26.548,3.76
630,26.628,3.691
630.5,26.376,3.593
631,26.232,3.563
631.5,26.31,3.768
632,26.484,4.04
632.5,26.574,4.136
633,26.649,4.095
633.5,26.638,4.134
634,26.615,4.092
634.5,26.585,3.906
635,26.437,3.744
635.5,26.089,3.402
636,25.834,3.037
636.5,25.731,2.834
637,25.72,2.778
637.5,25.772,2.664
638,25.691,2.638
638.5,25.576,2.803
639,25.61,3.033
639.5,25.76,3.365
640,25.945,3.69
640.5,26.077,3.884
641,26.319,4.085
641.5,26.467,4.125
642,26.633,4.101
642.5,26.723,3.908
643,26.852,3.915
643.5,26.95,4.024
644,27.1,4.115
644.5,27.193,4.232
645,27.178,4.344
645.5,27.039,4.458
646,26.895,4.52
646.5,26.456,4.225
647,25.98,3.742
647.5,25.724,3.453
648,25.789,3.451
648.5,26.071,3.536
649,26.504,3.784
649.5,26.978,4.233
650,27.433,4.642
650.5,27.75,4.992
651,27.941,5.127
651.5,27.917,4.997
652,27.846,4.841
652.5,27.802,4.753
653,27.643,4.655
653.5,27.492,4.473
654,27.324,4.428
654.5,27.215,4.477
655,27.212,4.505
655.5,27.195,4.457
656,27.169,4.381
656.5,27.21,4.308
657,27.357,4.297
657.5,27.495,4.233
658,27.547,4.109
658.5,27.534,4.123
659,27.498,4.038
659.5,27.479,4.073
660,27.466,4.101
660.5,27.403,4.091
661,27.278,4.15
661.5,27.031,4.031
662,26.927,3.922
662.5,26.954,3.946
663,27.074,3.956
663.5,27.139,4.122
664,27.12,4.175
664.5,27.18,4.265
665,27.175,4.271
665.5,27.163,4.282
666,27.198,4.314
666.5,27.189,4.224
667,27.305,4.182
667.5,27.385,4.262
668,27.614,4.413
668.5,27.889,4.639
669,28.049,4.895
669.5,28.313,4.938
670,28.515,4.921
670.5,28.682,4.958
671,28.786,4.88
671.5,28.914,4.777
672,28.9,4.605
672.5,28.57,4.287
673,28.301,4.079
673.5,28.015,3.878
674,27.746,3.731
674.5,27.559,3.464
675,27.629,3.436
675.5,27.758,3.695
676,27.92,3.894
676.5,28.245,4.112
677,28.613,4.314
677.5,28.784,4.488
678,28.96,4.745
678.5,28.945,4.886
679,28.901,4.975
679.5,28.788,4.936
680,28.617,4.862
680.5,28.319,4.738
681,28.041,4.569
681.5,27.861,4.437
682,27.813,4.398
682.5,27.758,4.522
683,27.829,4.671
683.5,27.846,4.735
684,27.817,4.701
684.5,27.716,4.587
685,27.355,4.365
685.5,27.031,4.047
686,26.693,3.74
686.5,26.436,3.464
687,26.219,3.377
687.5,26.148,3.386
688,26.192,3.389
688.5,26.502,3.666
689,26.948,4.009
689.5,27.351,4.504
690,27.653,4.901
690.5,27.852,5.211
691,27.849,5.264
691.5,27.709,5.141
692,27.474,4.944
692.5,27.24,4.664
693,26.991,4.291
693.5,26.867,4.076
694,26.772,3.789
694.5,26.712,3.542
695,26.666,3.364
695.5,26.456,3.198
696,26.322,3.115
696.5,26.328,3.208
697,26.466,3.361
697.5,26.578,3.602
698,26.438,3.785
698.5,26.126,3.698
699,25.797,3.495
699.5,25.645,3.399
700,25.61,3.435
700.5,25.516,3.445
701,25.569,3.685
701.5,25.997,4.184
702,26.434,4.524
702.5,26.81,4.862
703,26.941,5.068
703.5,26.952,5.084
704,26.829,4.917
704.5,26.739,4.742
705,26.549,4.459
705.5,26.108,3.948
706,25.676,3.512
706.5,25.519,3.296
707,25.449,3.162
707.5,25.456,3.3
708,25.582,3.633
708.5,25.785,3.99
709,25.914,4.197
709.5,25.94,4.236
710,25.763,3.903
710.5,25.359,3.303
711,25.012,2.72
711.5,24.744,2.202
712,24.573,1.97
712.5,24.581,2.087
713,24.771,2.443
713.5,25.062,2.861
714,25.423,3.439
714.5,25.771,3.981
715,26.002,4.351
715.5,26.11,4.562
716,26.092,4.649
716.5,25.951,4.595
717,25.672,4.384
717.5,25.472,4.209
718,25.262,4.026
718.5,24.924,3.744
719,24.737,3.614
719.5,24.628,3.564
720,24.582,3.466
720.5,24.428,3.269
721,24.266,3.186
721.5,24.179,3.201
722,24.067,3.105
722.5,24.11,3.149
723,24.203,3.258
723.5,24.053,3.269
724,24.062,3.27
724.5,24.131,3.402
725,24.13,3.468
725.5,24.054,3.462
726,23.944,3.366
726.5,23.907,3.345
727,23.783,3.206
727.5,23.705,3.094
728,23.583,3.078
728.5,23.468,2.948
729,23.461,2.831
729.5,23.617,2.923
730,23.743,2.923
730.5,23.868,2.805
731,23.86,2.585
731.5,23.68,2.275
732,23.306,1.972
732.5,22.941,1.667
733,22.712,1.482
733.5,22.523,1.344
734,22.357,1.292
734.5,22.291,1.164
735,22.28,1.147
735.5,22.297,1.145
736,22.246,1.204
736.5,22.074,1.188
737,21.978,1.247
737.5,22.079,1.322
738,22.303,1.44
738.5,22.414,1.591
739,22.415,1.674
739.5,22.343,1.623
740,22.371,1.82
740.5,22.413,2.015
741,22.299,2.069
741.5,22.136,2.036
742,21.983,1.887
742.5,21.91,1.871
743,21.823,1.901
743.5,21.907,2.003
744,21.895,2.014
744.5,21.991,2.153
745,22.21,2.342
745.5,22.248,2.381
746,22.229,2.445
746.5,22.085,2.405
747,22.161,2.427
747.5,22.183,2.497
748,22.294,2.622
748.5,22.577,2.845
749,22.567,2.837
749.5,22.497,2.685
750,22.181,2.359
750.5,21.483,1.893
751,20.927,1.524
751.5,20.372,1.006
752,20.19,0.798
752.5,19.998,0.537
753,20.04,0.537
753.5,20.226,0.75
754,20.498,0.858
754.5,20.752,0.934
755,20.798,1.006
755.5,20.675,0.95
756,20.677,0.863
756.5,20.624,0.677
757,20.477,0.63
757.5,20.29,0.498
758,20.234,0.508
758.5,20.232,0.6
759,20.288,0.838
759.5,20.163,1.03
760,20,1.116
760.5,19.959,1.303
761,19.996,1.308
761.5,19.963,1.24
762,19.865,1.235
762.5,19.893,1.267
763,20.007,1.314
763.5,19.965,1.323
764,19.888,1.431
764.5,19.693,1.432
765,19.759,1.513
765.5,19.941,1.604
766,20.059,1.37
766.5,20.04,1.13
767,20.089,1.098
767.5,20.12,1.051
768,19.975,0.894
768.5,19.602,0.666
769,19.371,0.614
